event_id,num_perimeters_0_5h,dt_first_last_0_5h,low_temporal_resolution_0_5h,area_first_ha,area_growth_abs_0_5h,area_growth_rel_0_5h,area_growth_rate_ha_per_h,log1p_area_first,log1p_growth,log_area_ratio_0_5h,relative_growth_0_5h,radial_growth_m,radial_growth_rate_m_per_h,centroid_displacement_m,centroid_speed_m_per_h,spread_bearing_deg,spread_bearing_sin,spread_bearing_cos,dist_min_ci_0_5h,dist_std_ci_0_5h,dist_change_ci_0_5h,dist_slope_ci_0_5h,closing_speed_m_per_h,closing_speed_abs_m_per_h,projected_advance_m,dist_accel_m_per_h2,dist_fit_r2_0_5h,alignment_cos,alignment_abs,cross_track_component,along_track_speed,event_start_hour,event_start_dayofweek,event_start_month,time_to_hit_hours,event
10892457,3,4.265188315,0,79.6963044,2.875934607,0.036086173,0.674280804,4.39069278,1.354786823,0.035450318,0.036086173,9.007182413,2.111790089,8.274970757,1.9401185,70.13050741,0.94046923,0.339878841,6166.121596,0.205085268,0.43505155,0.10909975,-0.102000549,0.102000549,-0.43505155,0.072756109,0.886373271,-0.054649077,0.054649077,-1.937219231,-0.106025686,19,4,5,18.89251185,0
11757157,2,1.169917662,0,8.946749378,0,0,0,2.297245802,0,0,0,0,0,0,0,0,0,1,2930.925956,0,0,-3.89E-13,0,0,0,0,0,-0.568898211,0.568898211,0,0,4,4,6,22.04810801,1
11945086,4,4.777526033,0,106.4826377,0,0,0,4.677329325,0,0,0,0,0,0,0,0,0,1,3272.37509,0,0,-1.39E-13,0,0,0,7.97E-14,0,0.882385438,0.882385438,0,0,22,4,8,0.888895483,1
12044083,1,0,1,67.63112471,0,0,0,4.228746145,0,0,0,0,0,0,0,0,0,1,64119.87138,0,0,0,0,0,0,0,0,0,0,0,0,20,5,8,60.95302147,0
12052347,2,4.975273027,0,35.63287351,0,0,0,3.600946021,0,0,0,0,0,0,0,0,0,1,18005.43226,0,0,3.66E-13,0,0,0,0,0,0.934634116,0.934634116,0,0,21,5,7,44.99027447,0
12773599,1,0,1,184.7676097,0,0,0,5.224496483,0,0,0,0,0,0,0,0,0,1,35232.56297,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,44.02638364,0
13122360,1,0,1,119.3642031,0,0,0,4.790522173,0,0,0,0,0,0,0,0,0,1,3530.472886,0,0,0,0,0,0,0,0,0,0,0,0,21,1,3,14.84539185,1
13745272,1,0,1,1388.283778,0,0,0,7.236543626,0,0,0,0,0,0,0,0,0,1,8038.691359,0,0,0,0,0,0,0,0,0,0,0,0,16,0,6,66.76792704,0
15247236,2,1.892775762,0,4.493970165,0,0,0,1.703651157,0,0,0,0,0,0,0,0,0,1,31758.58114,0,0,0,0,0,0,0,0,0.106322185,0.106322185,0,0,18,5,8,39.91263007,0
15743535,1,0,1,5.218524435,0,0,0,1.82753265,0,0,0,0,0,0,0,0,0,1,1995.042356,0,0,0,0,0,0,0,0,0,0,0,0,17,2,7,54.63810941,1
